S No,Vehicle Category,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP
1,FOUR WHEELER (INVALID CARRIAGE),332,232,261,252,300,246,269,72,1964
2,HEAVY GOODS VEHICLE,26846,23661,26048,28443,21462,18735,20078,6127,171400
3,HEAVY MOTOR VEHICLE,488,291,415,360,400,579,204,48,2785
4,HEAVY PASSENGER VEHICLE,3176,2412,3376,3171,3279,3071,3300,1479,23264
5,LIGHT GOODS VEHICLE,59511,47609,53274,45536,44996,45327,46862,14298,357413
6,LIGHT MOTOR VEHICLE,533361,348950,400634,391802,353352,352860,384275,108869,2874103
7,LIGHT PASSENGER VEHICLE,39119,28519,32256,35438,31387,31441,36468,10740,245368
8,MEDIUM GOODS VEHICLE,4111,3380,3740,3964,3273,3012,3392,1163,26035
9,MEDIUM MOTOR VEHICLE,982,795,1093,862,711,913,466,153,5975
10,MEDIUM PASSENGER VEHICLE,2363,2414,2894,3254,3634,4492,4182,1087,24320
11,OTHER THAN MENTIONED ABOVE,9116,7886,9487,7036,6571,8527,4068,1375,54066
12,THREE WHEELER (INVALID CARRIAGE),0,0,2,0,1,1,0,0,4
13,THREE WHEELER(NT),84,69,87,142,138,96,93,27,736
14,THREE WHEELER(T),106940,94123,99293,99629,104316,100534,111334,28449,744618
15,TWO WHEELER (INVALID CARRIAGE),1636,2660,6285,1736,1570,863,1004,192,15946
16,TWO WHEELER(NT),1532010,1359158,1514354,1694017,1658136,1450649,1356160,381468,10945952
17,TWO WHEELER(T),1498,870,1590,1332,1619,1706,1486,371,10472
