Maker,Year,Registrations,YoY_pct
"""VOLVO GROUP INDIA PVT LTD""",2021,800,
"""VOLVO GROUP INDIA PVT LTD""",2022,1023,27.88
"""VOLVO GROUP INDIA PVT LTD""",2023,1179,15.25
"""VOLVO GROUP INDIA PVT LTD""",2024,930,-21.12
"""VOLVO GROUP INDIA PVT LTD""",2025,595,-36.02
3EV INDUSTRIES PVT LTD,2021,142,
3EV INDUSTRIES PVT LTD,2022,390,174.65
3EV INDUSTRIES PVT LTD,2023,546,40.0
3EV INDUSTRIES PVT LTD,2024,70,-87.18
3EV INDUSTRIES PVT LTD,2025,501,615.71
3GB TECHNOLOGY PVT LTD,2021,7,
3GB TECHNOLOGY PVT LTD,2022,0,-100.0
3GB TECHNOLOGY PVT LTD,2023,0,
3GB TECHNOLOGY PVT LTD,2024,0,
3GB TECHNOLOGY PVT LTD,2025,0,
3S INDUSTRIES PRIVATE LIMITED,2021,67,
3S INDUSTRIES PRIVATE LIMITED,2022,68,1.49
3S INDUSTRIES PRIVATE LIMITED,2023,266,291.18
3S INDUSTRIES PRIVATE LIMITED,2024,1274,378.95
3S INDUSTRIES PRIVATE LIMITED,2025,951,-25.35
A B EXCAVATORS & EARTHMOVER LTD,2021,1,
A B EXCAVATORS & EARTHMOVER LTD,2022,0,-100.0
A B EXCAVATORS & EARTHMOVER LTD,2023,0,
A B EXCAVATORS & EARTHMOVER LTD,2024,0,
A B EXCAVATORS & EARTHMOVER LTD,2025,0,
A B EXCAVATORS & EARTHMOVERS PVT LTD,2021,0,
A B EXCAVATORS & EARTHMOVERS PVT LTD,2022,2,inf
A B EXCAVATORS & EARTHMOVERS PVT LTD,2023,1,-50.0
A B EXCAVATORS & EARTHMOVERS PVT LTD,2024,0,-100.0
A B EXCAVATORS & EARTHMOVERS PVT LTD,2025,0,
A D AGRO WORKS,2021,87,
A D AGRO WORKS,2022,125,43.68
A D AGRO WORKS,2023,110,-12.0
A D AGRO WORKS,2024,105,-4.55
A D AGRO WORKS,2025,71,-32.38
A K AUTTO ELECTRICAL,2021,5,
A K AUTTO ELECTRICAL,2022,3,-40.0
A K AUTTO ELECTRICAL,2023,2,-33.33
A K AUTTO ELECTRICAL,2024,0,-100.0
A K AUTTO ELECTRICAL,2025,2,inf
A K GUPTA & CO.,2021,256,
A K GUPTA & CO.,2022,433,69.14
