Maker Wise Calendar Year Data  For All State (),,,,,,,
S No,                      Maker                       ,Calendar Year ,,,,,     TOTAL     
,,,,,,,
,,2025,2024,2023,2022,2021,
1,3EV INDUSTRIES PVT LTD,501,70,546,390,142,"1,649"
2,3GB TECHNOLOGY PVT LTD,0,0,0,0,7,7
3,3S INDUSTRIES PRIVATE LIMITED,951,"1,274",266,68,67,"2,626"
4,A1 HEAVY EQUIPMENTS DEVELOPER,16,17,25,16,7,81
5,A-1 SUREJA INDUSTRIES,2,8,1,0,0,11
6,A3T INCORPORTED,0,0,0,9,18,27
7,AADHYA ENTERPRISES,198,571,797,517,9,"2,092"
8,AADITYA EMOTORS INDIA PVT LTD,0,0,1,1,1,3
9,AADITYA GARBAGE PRODUCTS PVT LTD,6,5,34,10,0,55
10,AAHANA COMMERCE PVT LTD,"3,343","2,912",919,310,202,"7,686"
11,AAKK AUTO PVT LTD,76,60,0,0,0,136
12,AARGEE ELECTRIC,0,10,18,13,10,51
13,AARON INDUSTRIES,12,27,36,41,0,116
14,AARYA AUTOMOBILES,0,0,0,0,3,3
15,AASHI INDIA AUTOMOBILES PVT LTD,0,0,0,0,1,1
16,A.B. AGRO ENGINEERING WORKS,10,10,0,0,0,20
17,A.B. AGRO ENGINEERING WORKS&ENTERPRISESAP11815428,5,2,0,0,0,7
18,A B EXCAVATORS & EARTHMOVER LTD,0,0,0,0,1,1
19,A B EXCAVATORS & EARTHMOVERS PVT LTD,0,0,1,2,0,3
20,AB N DHRUV AUTOCRAFT (INDIA) PVT LTD,0,0,1,0,0,1
21,ABZO MOTORS PVT LTD,10,68,15,0,0,93
22,ACCPL INFRA FABTECH PVT LTD,0,1,0,0,0,1
23,ACCRETION POWER AUTOS,256,502,598,608,208,"2,172"
24,ACTION CONSTRUCTION EQUIPMENT LTD.,"7,203","10,797","8,884","7,662","6,898","41,444"
25,A D AGRO WORKS,71,105,110,125,87,498
26,ADAPT MOTORS PVT LTD,1,2,4,3,2,12
27,ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,653,"2,393","2,323","1,737","2,590","9,696"
28,ADIDEV TECHNOA PVT LTD,"1,075","1,687",689,168,34,"3,653"
29,ADISHAKTI TRACTORS,0,2,40,327,186,555
30,ADISHWAR AUTO RIDE INDIA PVT.LTD,0,0,1,0,1,2
31,ADISHWAR AUTO RIDE INDIA PVT LTD,101,246,383,"1,350","1,870","3,950"
32,ADITYA AGRO INDUSTRIES,10,61,63,41,61,236
33,ADITYA ENTERPRISES,0,0,2,3,5,10
34,ADITYA SAI INDUSTRIES,236,204,179,129,53,801
35,ADM TECHNOLOGIES PVT. LTD.,86,305,129,0,0,520
36,ADRIS ELECTRIC PVT LTD,1,8,61,226,65,361
37,AERODRIVE PVT LTD,160,12,0,0,0,172
38,AEROEAGLE AUTOMOBILES PVT LTD,66,37,0,0,0,103
39,AFKON AUTOMOTIVES PVT LTD,494,165,0,0,0,659
40,AFTEK MOTORS INDIA PVT LTD,5,39,138,186,8,376
41,"AFZAL ENGG WORKS,JUNAGARH",0,3,2,35,487,527
42,AGI AUTO INDUSTRIES,5,0,0,0,0,5
43,"AGNEE IRON WORKS,BARIPADA",0,0,0,1,3,4
44,AGP ENGINEERING PRODUCTS,0,1,0,1,7,9
45,AGRASEN ENGINEERING WORKS,0,0,0,1,14,15
46,AGRAWAL RENEWABLE ENERGY PVT LTD,0,4,0,1,1,6
47,AGRI KING,0,0,0,0,1,1
48,AGRI KING TRACTORS & EQUIPMENTS PVT LTD,88,127,65,55,49,384
49,AGRO INDUSTRIES,69,125,149,259,866,"1,468"
50,AGRO TRAILERS AP312870751,3,1,0,0,0,4
51,AHITESHAM AGRO ENGINEERING,0,0,7,12,4,23
52,AHMED MOTORS,7,17,74,105,24,227
53,AJANTA KRUSHI YANTRA,29,76,95,71,87,358
54,AJAX ENGINEERING LTD,"3,489","4,514","3,553","1,852","2,041","15,449"
55,AJAX FIORI ENGINEERING PVT LTD,7,3,7,23,125,165
56,AJAY AGRO ENTERPRISES SAMBALPUR PARDHIAPALI,1,0,0,0,0,1
57,"AJAY AGRO ENTERPRISES,SBP",0,0,7,22,76,105
58,AJAY ENGG WORKS & EQUIP PLTD SAMBALPUR PARDHIAPALI,6,9,0,1,0,16
59,AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.,4,2,9,11,46,72
60,AJAY ENTERPRISES,0,9,25,10,32,76
61,AJAY ENTERPRISES TRAILOR NABARANGPUR TOWN,62,6,0,0,0,68
62,AJAY MOTORS PRIVATE LIMITED,146,195,190,34,0,565
63,A.J ENTERPRISES,129,166,0,0,0,295
64,AJIT ENGINEERING WORKS,0,1,6,0,0,7
65,AJS MOTORCYCLES LTD,0,0,2,1,0,3
66,AKAL AGRO INDUSTRY,14,40,16,4,0,74
67,AKASH AGRO INDUSTRIES,0,0,1,6,24,31
68,AKASH EQUIPMENTS & MACHINERIES (P) LTD.,1,0,0,0,0,1
69,AKASH KRISHI YANTRA,0,0,1,35,1,37
